27	403	5120		Barbara		 Raje	0	1945-05-17 00:00:00	M		F		20000	4	0	High Schoo	Skilled Manual	1	2	3532 Premier Pl.		1 (11) 500 555-0155	
31	390	6930		Jillian	G	 Engineer	0	1946-02-16 00:00:00	M		F		30000	2	0	Partial Co	Clerical	1	2	2073 Santa Fe Dr.		1 (11) 500 555-0184	
43	403	55442371400		Sarah		Martin	0	1948-12-06 00:00:00	M		F		30000	3	0	Partial Co	Clerical	1	2	5035 Cleaveland Road		1 (11) 500 555-0155	
55	403	3063		Meagan	A	 Gonzalez	0	1951-06-16 00:00:00	M		F		30000	3	0	High Schoo	Skilled Manual	1	2	771 Leed Court West		1 (11) 500 555-0130	
59	403	19502514004		Ian	E	Evans	0	1952-11-17 00:00:00	M		M		30000	3	0	High Schoo	Skilled Manual	1	2	5145 Redhead Way		1 (11) 500 555-0136	
82	92	2641		Kristine		 Rubio	0	1957-09-19 00:00:00	S		F		50000	2	0	High Schoo	Professional	0	2	4216 Stonehedge Dr		1 (11) 500 555-0165	
85	4	4561		Tabitha	A	 Rubio	0	1958-10-05 00:00:00	S		F		130000	0	1	Graduate D	Management	1	1	7647 Slavio		1 (11) 500 555-0116	
86	403	2914		Marvin		 Castro	0	1958-12-12 00:00:00	S		M		130000	0	1	Graduate D	Management	0	2	5520 Massolo Drive		1 (11) 500 555-0158	
96	260	6732		Albert		 Gutierrez	0	1957-09-12 00:00:00	S		M		70000	2	1	Partial Co	Professional	0	0	8668 St. Celestine Court		984-555-0146	
102	4	3040		Carmen		 Sanchez	0	1963-10-11 00:00:00	S		F		70000	0	0	Bachelors 	Professional	0	1	5811 Hillcrest		1 (11) 500 555-0167	
111	390	7983		Terry		 Goel	0	1960-10-06 00:00:00	M		M		60000	1	0	Partial Co	Skilled Manual	1	1	1330 Guadalupe		1 (11) 500 555-0149	
115	92	8556		Jorge	L	 Zeng	0	1965-04-21 00:00:00	S		M		80000	5	5	Bachelors 	Professional	1	4	2196 Cotati Ct.		1 (11) 500 555-0169	
148	92	2827		Theodore	R	 Munoz	0	1946-07-12 00:00:00	S		M		10000	5	0	High Schoo	Skilled Manual	1	2	9165 San Vincente Dr.		1 (11) 500 555-0122	
149	390	2140		Leonard	L	 Sharma	0	1937-02-02 00:00:00	S		M		40000	2	0	Bachelors 	Management	0	2	2595 Franklin Canyon Rd.		1 (11) 500 555-0192	
152	97	79011961200		Hunter		Martin	0	1978-10-03 00:00:00	S		M		40000	0	0	High Schoo	Skilled Manual	0	2	2105 Freedom Ct.		535-555-0195	
193	1481	2265		Eugene	L	 Hu	0	1959-05-15 00:00:00	S		M		50000	4	0	Graduate D	Skilled Manual	1	0	1666 Edward Avenue		128-555-0137	
195	1454	53982541600		Anna		Wilson	0	1942-05-18 00:00:00	S		F		120000	2	4	Graduate D	Management	0	3	9895 Sierrawood Court		404-555-0164	
